canonicalName
Argyranthemum foeniculaceum
Argyranthemum haouarytheum
Argyranthemum hierrense
Argyranthemum lidii
Argyranthemum sundingii
Argyranthemum webbii
Argyranthemum vincentii
Argyranthemum winteri
Aristolochia
Aristolochia baetica
Aristolochia elegans
Armeria
Armeria alliacea
Armeria nebrodensis
Armeria cantabrica
Armeria colorata
Armeria duriaei
Armeria filicaulis
Armeria gaditana
Armeria hispalensis
Armeria maritima
Armeria pungens
Armeria rouyana
Armeria splendens
Armeria trachyphylla
Armeria velutina
Armeria villosa
Armeria welwitschii
Armoracia macrocarpa
Aronia melanocarpa
Artemisia absinthium
Artemisia argentea
Artemisia barrelieri
Artemisia campestris
Artemisia cantabrica
Artemisia gabriellae
Artemisia pedemontana
Arum italicum
Arundo donax
Asarina procumbens
Asparagus
Asparagus pastorianus
Asparagus plumosus
Asparagus scoparius
Asparagus stipularis
Asparagus umbellatus
Asperula hirta
Asperula paui
Asphodeline
Asphodelus
Asphodelus ramosus
Aster sorrentinii
Aster willkommii
Astragalus alopecuroides
Astragalus balearicus
Astragalus edulis
Astragalus granatensis
Astragalus hamosus
Astragalus incanus
Astragalus longidentatus
Astragalus sempervirens
Astydamia latifolia
Taeckholmia pinnata
Atriplex glauca
Atriplex hortensis
Atriplex repanda
Atriplex rosea
Atropa baetica
Ptilotrichum cyclocarpum
Alyssum corymbosum
Alyssum saxatile
Avena sativa
Babcockia platylepis
Ballota hirsuta
Ballota rupestris
Barbarea
Barbarea bosniaca
Barbarea bracteosa
Barbarea intermedia
Barbarea plantaginea
Barbarea stricta
Barbarea verna
Barbarea vulgaris
Barbarea arcuata
Kochia prostrata
Kochia scoparia
Bellardia trixago
Bencomia caudata
Bencomia exstipulata
Berberis aetnensis
Berberis vulgaris
Berberis hispanica
Berberis garciae
Bergenia
Bergeranthus scapiger
Berteroa incana
Beta macrocarpa
Beta nana
Beta vulgaris
Betula pubescens
Betula celtiberica
Betula nana
Betula aetnensis
Bidens pilosa
Biscutella
Biscutella auriculata
Biscutella brevicalcarata
Biscutella didyma
Biscutella leiocarpa
Biscutella apula
Biscutella frutescens
Biscutella glacialis
Biscutella scaposa
Biscutella laevigata
Biscutella lusitanica
Biscutella lyrata
Biscutella polyclada
Biscutella valentina
Biscutella intermedia
Biscutella gredensis
Biscutella megacarpaea
Biscutella variegata
Boleum asperum
Bonannia graeca
Borderea chouardii
Borderea pyrenaica
Boreava aptera
Boreava orientalis
Bornmuellera dieckii
Bosea yervamora
Brachypodium
Brachypodium arbuscula
Brachypodium phoenicoides
Brachypodium boissieri
Brassica alboglabra
Brassica balearica
Brassica bourgeaui
Brassica carinata
Brassica fruticulosa
Brassica deflexa
Brassica dimorpha
Brassica hilarionis
Brassica macrocarpa
Brassica maurorum
Brassica nigra
Brassica procumbens
Brassica rapa
Brassica chinensis
Brassica nipposinica
Brassica pekinensis
Brassica rupestris
Brassica souliei
Brassica spinescens
Brassica villosa
Braya alpina
Braya richardsonii
Briza maxima
Briza subaristata
Bromus unioloides
Bromus diandrus
Bromus hordeaceus
Bromus japonicus
Bromus madritensis
Bromus racemosus
Bromus rubens
Bromus squarrosus
Bromus sterilis
Bromus tectorum
Bryonia cretica
Bryonia marmorata
Bryonia verrucosa
Bryophyllum tubiflorum
Buchingera axillaris
Buchloe dactyloides
Buffonia
Buglossoides arvensis
Bunias erucago
Bunias orientalis
Bupleurum fruticescens
Bupleurum spinosum
Bupleurum rotundifolium
Bupleurum aciphyllum
Bupleurum salicifolium
Buxus balearica
Buxus sempervirens
Bystropogon canariensis
Bystropogon origanifolius
Cachrys sicula
Caesalpinia echinata
Cakile arabica
Cakile harperi
Cakile geniculata
Cakile lanceolata
Calendula
Calendula suffruticosa
Calendula maritima
Calicotome
Callistemon
Calotropis procera
Calystegia soldanella
Camelina
Camelina foetida
Camelina alyssum
Camelina hispida
Camelina laxa
Campanula arvatica
Campanula oreadum
Campanula rapunculoides
Campanula speciosa
Campsis
Campsis radicans
Campylanthus salsoloides
Canarina canariensis
Canna coccinea
Canna indica
Cannabis sativa
Capparis spinosa
Capsella bursa-pastoris
Capsella grandiflora
Capsella rubella
Capsicum annuum
Cardamine asarifolia
Cardamine bulbifera
Dentaria bulbifera
Cardamine carnosa
Cardamine chelidonia
Cardamine enneaphyllos
Cardamine flexuosa
Cardamine glauca
Cardamine graeca
Cardamine heptaphylla
Cardamine hirsuta
Cardamine impatiens
Cardamine parviflora
Cardamine pentaphyllos
Cardamine digitata
Cardamine pratensis
Cardamine raphanifolia
Cardamine resedifolia
Cardaminopsis halleri
Cardaria draba
Hymenophysa pubescens
Carduus assoi
Carduus broteroi
Carduus clavulatus
Carduus granatensis
Carduus paui
Carduus platypus
Carex asturica
Carex calderae
Carex camposii
Carex canariensis
Carex lowei
Carex nevadensis
Carex pendula
Carica papaya
Carlina
Carlina corymbosa
Carlina salicifolia
Carlina sicula
Carlina xeranthemoides
Carpentaria acuminata
Carpinus betulus
Carpobrotus edulis
Caulanthus amplexicaulis
Carthamus lanatus
Carum carvi
Carum verticillatum
Casimiroa tetrameria
Castanea sativa
Castilleja
Catalpa bignonioides
Caucalis platycarpos
Caulanthus cooperi
Caulanthus hallii
Streptanthus heterophyllus
Caulanthus inflatus
Thelypodium lasiophyllum
Caulanthus simulans
Messerschmidia fruticosa
Cedronella canariensis
Cedrus
Cedrus atlantica
Celosia
Celosia cristata
Celosia plumosa
Celtis australis
Celtis aetnensis
Centaurea
Centaurea alba
Centaurea aspera
Centaurea balearica
Centaurea boissieri
Centaurea bombycina
Centaurea borjae
Centaurea busambarensis
Centaurea carratracensis
Centaurea sagredoi
Centaurea cineraria
Centaurea citricolor
Centaurea clementei
Centaurea corcubionensis
Centaurea cordubensis
Centaurea dracunculifolia
Centaurea emigrantis
Centaurea gadorensis
Centaurea haenseleri
Centaurea hyssopifolia
Centaurea jaennensis
Centaurea lainzii
Centaurea monticola
Centaurea nigra
Centaurea paniculata
Centaurea parlatoris
Centaurea pinnata
Centaurea prolongi
Centaurea seridis
Centaurea solstitialis
Centaurea tauromenitana
Centaurea todari
Centaurium
Centaurium linariifolium
Centaurium triphyllum
Centranthus junceus
Centranthus nevadensis
Cephalaria leucantha
Cephalaria linearifolia
Cerastium
Cerastium banaticum
Cerastium candidissimum
Cerastium gibraltaricum
Cerastium boissieri
Cerastium sventenii
Cerastium theophrasti
Cercidium floridum
Cercis siliquastrum
Chaenorrhinum
Chaenorrhinum minus
Chaerophyllum temulentum
Chalcanthus renifolius
Chamaecytisus proliferus
Chamaemelum mixtum
Chamaerops humilis
Euphorbia nutans
Euphorbia peplis
Chamomilla recutita
Cheirolophus anagensis
Cheirolophus arboreus
Cheirolophus arbutifolius
Cheirolophus canariensis
Cheirolophus duranii
Cheirolophus intybaceus
Cheirolophus junonianus
Cheirolophus metlesicsii
Cheirolophus sventenii
Cheirolophus tagananensis
Cheirolophus argutus
Cheirolophus teydis
Cheirolophus webbianus
Chelidonium majus
Chenopodium album
Chenopodium botrys
Chenopodium coronopus
Chenopodium multifidum
Chenopodium opulifolium
Chenopodium pallidicaule
Chenopodium quinoa
Chloris gayana
Chorisia
Chorisia speciosa
Chorispora purpurascens
Chorispora tenella
Chrysanthemum
Chrysanthemum coronarium
Cichorium endivia
Cichorium intybus
Cirsium acaule
Cirsium arvense
Cirsium echinatum
Cirsium glabrum
Cirsium palustre
Cirsium flavispina
Cirsium rosulatum
Cirsium valentinum
Cirsium vallis-demonii
Cirsium vulgare
Cistus
Cistus albanicus
Cistus albidus
Cistus chinamadensis
Cistus clusii
Cistus creticus
Cistus incanus
Cistus crispus
Cistus heterophyllus
Cistus ladanifer
Cistus palhinhae
Cistus libanotis
Cistus monspeliensis
Cistus populifolius
Cistus psilosepalus
Citrullus vulgaris
Citrullus lanatus
Cladium mariscus
Clematis vitalba
Cleome
Cleome arabica
Cleome violacea
Cleonia lusitanica
Clerodendrum trichotomum
Clypeola
Clypeola aspera
Clypeola cyclodontea
Clypeola eriocarpa
Cneorum tricoccon
Cochlearia aragonensis
Cochlearia glastifolia
Cochlearia megalosperma
Coffea
Coincya longirostra
